# stamp x y z yaw
7.472000 14.087023 -0.028320 -0.001317 -0.082040
7.492000 14.139638 -0.036726 -0.001627 -0.087513
7.512000 14.192238 -0.044054 -0.001719 -0.089396
7.532000 14.244398 -0.049725 -0.001743 -0.088662
7.552000 14.295661 -0.052959 -0.001699 -0.085081
7.572000 14.346022 -0.053547 -0.001650 -0.079177
7.592000 14.395839 -0.051917 -0.001532 -0.071558
7.612000 14.445277 -0.048358 -0.001440 -0.062505
7.632000 14.494433 -0.043174 -0.001377 -0.052164
7.652000 14.543247 -0.036196 -0.001407 -0.040795
7.672000 14.591499 -0.027302 -0.001483 -0.028398
7.692000 14.638997 -0.016294 -0.001523 -0.014888
7.712000 14.685573 -0.002939 -0.001522 -0.000102
7.732000 14.731225 0.012567 -0.001510 0.015790
7.752000 14.775964 0.029934 -0.001496 0.032695
7.772000 14.820670 0.045660 -0.001671 0.045920
7.792000 14.865709 0.059317 -0.002517 0.056579
7.812000 14.910207 0.070376 -0.003565 0.064382
7.832000 14.953864 0.079180 -0.004991 0.069587
7.852000 14.996482 0.085634 -0.006645 0.072083
7.872000 15.038167 0.089523 -0.008331 0.071883
7.892000 15.078754 0.089763 -0.009104 0.068076
7.912000 15.118974 0.086667 -0.009072 0.061279
7.932000 15.159263 0.080907 -0.008989 0.052746
7.952000 15.199412 0.073121 -0.009208 0.043073
7.972000 15.239036 0.063248 -0.008744 0.030525
7.992000 15.278685 0.048800 -0.006886 0.012713
8.012000 15.319862 0.031186 -0.005050 -0.006454
8.032000 15.363536 0.012361 -0.003454 -0.024554
8.052000 15.409144 -0.006553 -0.002417 -0.042619
8.072000 15.454232 -0.021801 -0.000874 -0.055388
8.092000 15.498557 -0.034687 -0.001275 -0.065406
8.112000 15.543377 -0.045624 -0.002079 -0.072416
8.132000 15.589455 -0.055840 -0.002711 -0.075771
8.152000 15.635596 -0.063869 -0.003770 -0.076234
8.172000 15.681102 -0.069272 -0.005201 -0.074276
8.192000 15.725717 -0.072042 -0.006881 -0.070058
8.212000 15.769505 -0.072063 -0.008546 -0.063513
8.232000 15.812264 -0.068876 -0.009511 -0.054390
8.252000 15.853837 -0.062488 -0.009844 -0.042915
8.272000 15.895497 -0.050497 -0.007994 -0.026138
8.292000 15.938863 -0.035118 -0.006107 -0.007224
8.312000 15.983913 -0.016813 -0.004559 0.012539
8.332000 16.029909 0.004785 -0.002499 0.033651
8.352000 16.075089 0.030132 -0.000096 0.057690
8.372000 16.119059 0.053354 -0.001095 0.079266
8.392000 16.163266 0.075470 -0.001515 0.096360
8.412000 16.207062 0.095775 -0.001608 0.109301
8.432000 16.251188 0.114572 -0.002058 0.118789
8.452000 16.295422 0.131078 -0.002799 0.125348
8.472000 16.339200 0.145658 -0.004115 0.128956
8.492000 16.382179 0.157902 -0.005647 0.129678
8.512000 16.424217 0.167505 -0.007314 0.127756
8.532000 16.465342 0.174574 -0.008845 0.122618
8.552000 16.505448 0.177795 -0.009419 0.114364
8.572000 16.544609 0.177679 -0.009344 0.103261
8.592000 16.582929 0.174815 -0.009380 0.090608
8.612000 16.620152 0.167596 -0.007910 0.074071
8.632000 16.659592 0.156555 -0.006195 0.055155
8.652000 16.701635 0.142933 -0.004750 0.036207
8.672000 16.746280 0.127746 -0.003225 0.018464
8.692000 16.793048 0.111919 -0.002514 0.001277
8.712000 16.841623 0.095018 -0.002030 -0.016168
8.732000 16.892081 0.076749 -0.001784 -0.033905
8.752000 16.944481 0.057033 -0.001680 -0.052007
8.772000 16.997909 0.039055 -0.001799 -0.067810
8.792000 17.052093 0.022604 -0.001165 -0.081162
8.812000 17.106145 0.008770 -0.001286 -0.091213
8.832000 17.158413 -0.000895 -0.001768 -0.097523
8.852000 17.210795 -0.009270 -0.001770 -0.099912
8.872000 17.262643 -0.015817 -0.001776 -0.099766
8.892000 17.313592 -0.020029 -0.001699 -0.096575
8.912000 17.363690 -0.021751 -0.001678 -0.090829
8.932000 17.413177 -0.021313 -0.001546 -0.083152
8.952000 17.462293 -0.018854 -0.001452 -0.074088
8.972000 17.511162 -0.014675 -0.001383 -0.063844
8.992000 17.559724 -0.008732 -0.001399 -0.052544
9.012000 17.607777 -0.000882 -0.001471 -0.040227
9.032000 17.655114 0.009009 -0.001519 -0.026766
9.052000 17.701560 0.021210 -0.001523 -0.012023
9.072000 17.747097 0.035686 -0.001513 0.003754
9.092000 17.791728 0.052275 -0.001499 0.020520
9.112000 17.835678 0.069670 -0.001505 0.036609
9.132000 17.879886 0.084701 -0.002084 0.049047
9.152000 17.924188 0.097345 -0.002925 0.058705
9.172000 17.967730 0.107618 -0.004171 0.065765
9.192000 18.010312 0.115584 -0.005702 0.070102
9.212000 18.051910 0.121198 -0.007445 0.071822
9.232000 18.092509 0.123807 -0.008818 0.070398
9.252000 18.132148 0.122682 -0.009123 0.065281
9.272000 18.171489 0.118647 -0.008987 0.057516
9.292000 18.210628 0.112172 -0.009042 0.048258
9.312000 18.249593 0.103622 -0.009378 0.037940
9.332000 18.288235 0.090399 -0.007542 0.021139
9.352000 18.328393 0.073810 -0.005388 0.001701
9.372000 18.371280 0.055352 -0.003597 -0.016911
9.392000 18.416450 0.036196 -0.002592 -0.035156
9.412000 18.463487 0.017027 -0.001943 -0.054352
9.432000 18.512213 -0.003130 -0.001656 -0.074136
9.452000 18.562700 -0.024792 -0.001537 -0.094194
9.472000 18.612889 -0.042879 -0.000800 -0.108693
9.492000 18.662057 -0.057408 -0.001870 -0.119789
9.512000 18.711719 -0.070741 -0.002683 -0.126401
9.532000 18.762064 -0.083334 -0.003524 -0.128913
9.552000 18.812089 -0.094037 -0.004922 -0.128755
9.572000 18.861236 -0.102017 -0.006543 -0.126153
9.592000 18.909534 -0.107187 -0.008272 -0.121200
9.612000 18.956815 -0.108868 -0.009326 -0.113325
9.632000 19.002999 -0.107048 -0.009533 -0.102438
9.652000 19.048226 -0.102355 -0.009556 -0.089446
9.672000 19.092591 -0.093510 -0.008300 -0.072917
9.692000 19.138535 -0.080691 -0.006711 -0.053128
9.712000 19.186429 -0.064816 -0.005024 -0.032579
9.732000 19.236460 -0.047440 -0.003735 -0.013553
9.752000 19.288399 -0.029485 -0.003129 0.005463
9.772000 19.341774 -0.011222 -0.002173 0.023953
9.792000 19.395610 0.007582 -0.001751 0.042035
9.812000 19.448793 0.026396 -0.000498 0.058712
9.832000 19.500709 0.042415 -0.000853 0.071875
9.852000 19.552186 0.055965 -0.002366 0.081756
9.872000 19.604648 0.068068 -0.002991 0.087844
9.892000 19.656995 0.078536 -0.004231 0.091263
9.912000 19.708490 0.086335 -0.005741 0.092183
9.932000 19.759052 0.091530 -0.007461 0.090651
9.952000 19.808625 0.093604 -0.008881 0.086307
9.972000 19.856952 0.091843 -0.009279 0.078447
9.992000 19.904425 0.086816 -0.009181 0.067857
10.012000 19.952080 0.079422 -0.009315 0.056140
10.032000 20.001484 0.070658 -0.009838 0.043747
10.052000 20.051502 0.057461 -0.008138 0.029277
10.072000 20.101126 0.039696 -0.002005 0.009447
10.092000 20.149070 0.023051 -0.000068 -0.008204
10.112000 20.196690 0.006467 -0.000616 -0.024847
10.132000 20.243830 -0.008523 -0.001606 -0.038963
10.152000 20.289612 -0.020688 -0.002009 -0.050124
10.172000 20.334573 -0.030667 -0.002313 -0.058777
10.192000 20.378694 -0.038165 -0.002951 -0.065276
10.212000 20.421936 -0.043677 -0.004169 -0.068993
10.232000 20.464025 -0.047099 -0.005551 -0.069401
10.252000 20.505159 -0.048699 -0.007208 -0.066594
10.272000 20.545455 -0.048315 -0.008753 -0.060501
10.292000 20.584727 -0.045330 -0.009586 -0.051290
10.312000 20.622688 -0.038623 -0.009410 -0.039202
10.332000 20.661014 -0.026296 -0.007530 -0.022108
10.352000 20.701626 -0.010298 -0.005509 -0.003093
10.372000 20.744275 0.006773 -0.003611 0.014081
10.392000 20.788826 0.024657 -0.002435 0.029873
10.412000 20.835254 0.043465 -0.001871 0.045710
10.432000 20.883219 0.063868 -0.001698 0.062398
10.452000 20.933013 0.085853 -0.001642 0.079480
10.472000 20.984726 0.109020 -0.001651 0.097459
10.492000 21.038398 0.133846 -0.001709 0.115928
